timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,load,ram_usage,warning
32334280021,17.097,17.270588,19.1456,18.754416,2552.237,0,1.1571429,0.7067049,0.85542417,3
32334770667,17.0642,17.243319,18.8852,18.822672,2554.8125,0,1.1571429,0.71288794,0.85542417,3
32335273925,17.2528,17.187527,19.1332,19.003742,2557.4854,0,1.1571429,0.71288794,0.85542417,3
32335777180,17.753,17.2603,17.36,18.795315,2560.108,0,1.1571429,0.70838773,0.8572594,3
32336280811,17.2446,17.339912,18.3272,18.217735,2562.5854,0,1.1571429,0.70838773,0.8572594,3
32336783380,17.4004,17.326662,18.4884,18.371027,2565.1653,0,1.1571429,0.71805626,0.8572594,3
32337287148,17.7694,17.433294,17.3228,17.96711,2567.6565,0,1.1571429,0.71805626,0.8572594,3
32337789134,17.4578,17.442076,18.1288,17.911,2570.1416,0,1.1571429,0.7116244,0.8572594,3
32338292443,17.7038,17.51608,17.347599,17.66968,2572.5999,0,1.1571429,0.7116244,0.8572594,3
32338795630,16.9822,17.365522,20.038399,18.212893,2575.1787,0,1.1571429,0.71579653,0.8572594,3
32339298618,17.507,17.297178,18.166,18.738695,2577.8728,0,1.1571429,0.71579653,0.8572594,3
32339789968,17.3184,17.35482,18.228,18.295523,2580.321,0,1.1571429,0.71908563,0.85515225,3
32340297134,17.015,17.293743,18.848,18.568789,2582.9602,0,1.1571429,0.71908563,0.85515225,3
32340800266,17.2856,17.295017,18.3768,18.538694,2585.5527,0,1.1571429,0.71180975,0.85515225,3
32341303788,17.1708,17.289694,18.8232,18.533197,2588.1406,0,1.1571429,0.71180975,0.85515225,3
32341794729,16.9166,17.20973,19.381199,18.90598,2590.7537,0,1.1571429,0.71222675,0.85542417,3
32342298495,17.0478,17.1292,19.5176,19.255201,2593.4812,0,1.1571429,0.71222675,0.85542417,3
32342801251,17.507,17.094534,18.947199,19.326132,2596.1924,0,1.1571429,0.7125311,0.85542417,3
32343304312,17.5972,17.152681,18.8728,19.02285,2598.8152,0,1.1571429,0.7125311,0.85542417,3
32343802769,17.015,17.118193,19.4308,19.149284,2601.4739,0,1.1571429,0.7183515,0.85542417,3
32344305983,17.4414,17.200706,17.8188,18.795784,2604.088,0,1.1571429,0.7183515,0.85542417,3
32344809086,16.9822,17.210125,19.0588,18.67981,2606.6748,0,1.1571429,0.7074436,0.8572594,3
32345308449,17.056,17.132898,19.2944,19.045683,2609.3518,0,1.1571429,0.7074436,0.8572594,3
32345811945,17.2118,17.115513,19.1208,19.14335,2612.0417,0,1.1571429,0.7123232,0.8572594,3
32346302822,17.1544,17.127329,19.0712,19.044361,2614.6296,0,1.1571429,0.7123232,0.8572594,3
32346805910,17.2938,17.144331,18.9224,18.994886,2617.2805,0,1.1571429,0.71790683,0.8572594,3
32347309369,17.326601,17.170874,18.848,18.882517,2619.9106,0,1.1571429,0.71790683,0.8572594,3
32347812454,17.2036,17.19203,18.7612,18.820763,2622.5347,0,1.1571429,0.7108283,0.8572594,3
32348315531,17.056,17.210388,18.91,18.804586,2625.1592,0,1.1571429,0.7108283,0.8572594,3
